Date,Accident Location,Latitude,Longitude
2020-01-01 00:00:00,Bhatia,N21° 06' 46.45'',E73° 21' 16.44''
2020-01-01 00:00:00,Hazira,N21° 09' 58.63'',E73° 40' 15.78''
2020-01-01 00:00:00,Bhatia,N21° 06' 7.79'',E73° 20' 42.58''
2020-01-07 00:00:00,Kikakui,N21° 07' 16.19'',E72° 46' 39.69''
2020-01-09 00:00:00,Kikakui,N21° 07' 11.67'',E72° 47' 21.87''
2020-01-10 00:00:00,Abhava,N21° 08' 46.76'',E73° 30' 57.76''
2020-01-14 00:00:00,Chorvad,N21° 07' 0.08'',E72° 49' 16.06''
2020-01-15 00:00:00,Chachadbunda,N21° 11' 18.58'',E72° 42' 48.79''
2020-01-16 00:00:00,Kushalpura,N21° 05' 24.63'',E72° 54' 23.95''
2020-01-23 00:00:00,Mandal,N21° 07' 13.87'',E72° 48' 10.29''
2020-01-26 00:00:00,Bhatia,N21° 06' 52.14'',E73° 21' 19.79''
2020-01-27 00:00:00,Taraz,N21° 05' 58.64'',E73° 20' 2.5''
2020-01-31 00:00:00,Bhatpore,N21° 09' 48.73'',E73° 33' 3.03''
2020-01-31 00:00:00,Kikvad,N21° 06' 15.58'',E73° 06' 15.09''
2020-01-31 00:00:00,Borakhdi,N21° 05' 8.29'',E72° 58' 8.34''
2020-01-31 00:00:00,Abhava,N21° 08' 37.22'',E73° 30' 31.98''
2020-02-01 00:00:00,Ena Village,N21° 05' 48.99'',E73° 15' 4.4''
2020-02-02 00:00:00,Bajipura,N21° 05' 12.09'',E72° 58' 53.04''
2020-02-02 00:00:00,Kikakui,N21° 07' 11.67'',E72° 47' 21.87''
2020-02-07 00:00:00,Hazira,N21° 09' 58.14'',E73° 40' 8.87''
2020-02-09 00:00:00,Bardoli,N21° 06' 21.26'',E73° 10' 22.85''
2020-02-11 00:00:00,Bardoli,N21° 06' 16.84'',E73° 10' 9.83''
2020-02-12 00:00:00,Sonarpada,N21° 09' 7.28'',E72° 44' 31.86''
2020-02-12 00:00:00,Budia,N21° 07' 47.45'',E73° 27' 12.56''
2020-02-13 00:00:00,Kikakui,N21° 07' 12.42'',E72° 47' 40.9''
2020-02-13 00:00:00,Vanz,N21° 07' 34.1'',E73° 23' 33.14''
2020-02-14 00:00:00,Kawas,N21° 09' 59.1'',E73° 34' 12.47''
2020-02-15 00:00:00,Nani Kikwad,N21° 06' 27.49'',E73° 07' 1.72''
2020-02-15 00:00:00,Vanz,N21° 07' 34.12'',E73° 22' 16.91''
2020-02-16 00:00:00,Bhimrad,N21° 08' 8.11'',E73° 28' 49.52''
2020-02-18 00:00:00,Bardoli,N21° 06' 20.76'',E73° 10' 21.2''
2020-02-23 00:00:00,Bardoli,N21° 06' 21.06'',E73° 10' 22.19''
2020-02-24 00:00:00,Mandal,N21° 07' 13.8'',E72° 48' 12.37''
2020-02-25 00:00:00,Palsana,N21° 05' 50.88'',E73° 18' 25.89''
2020-02-26 00:00:00,Manekpore,N21° 05' 59.1'',E73° 03' 1.51''
2020-02-27 00:00:00,Etadva,N21° 05' 56.99'',E73° 19' 31.37''
2020-02-28 00:00:00,Sonarpada,N21° 08' 17.07'',E72° 45' 3.78''
2020-02-28 00:00:00,Sonarpada,N21° 08' 57.49'',E72° 44' 38.03''
2020-03-01 00:00:00,Kikakui,N21° 07' 13.28'',E72° 47' 52.99''
2020-03-02 00:00:00,Afva,N21° 06' 34.19'',E73° 08' 27.47''
2020-03-02 00:00:00,Kikakui,N21° 07' 11.86'',E72° 47' 27.06''
2020-03-02 00:00:00,Pokhran,N21° 08' 6.61'',E72° 45' 17.03''
2020-03-06 00:00:00,Vanesa,N21° 06' 20.65'',E73° 12' 7.75''
2020-03-07 00:00:00,Kawas,N21° 10' 52.09'',E73° 36' 2.85''
2020-03-09 00:00:00,Bardoli,N21° 06' 15.5'',E73° 10' 6.67''
2020-03-11 00:00:00,Bardoli,N21° 06' 16.84'',E73° 10' 9.83''
2020-03-11 00:00:00,Bhatpor,N21° 09' 50.47'',E73° 33' 13.17''
2020-03-12 00:00:00,Bardoli,N21° 06' 21.26'',E73° 10' 22.85''
2020-03-12 00:00:00,Vaanz,N21° 07' 34.12'',E73° 22' 16.91''
2020-03-16 00:00:00,Bardoli,N21° 06' 13.27'',E73° 09' 49.75''
2020-03-17 00:00:00,Bardoli,N21° 06' 20.25'',E73° 10' 19.55''
2020-03-18 00:00:00,Navi Kikvad,N21° 06' 30.43'',E73° 07' 15.22''
2020-03-18 00:00:00,khajod,N21° 08' 23.9'',E73° 29' 38.45''
2020-04-05 00:00:00,Magdalla,N21° 09' 10.16'',E73° 31' 47.24''
2020-04-05 00:00:00,Hazira,N21° 09' 46.47'',E73° 43' 43.06''
2020-04-19 00:00:00,Vaanz,N21° 07' 32.38'',E73° 22' 6.7''
2020-04-26 00:00:00,Chorvad,N21° 07' 6.33'',E72° 49' 2.35''
2020-04-27 00:00:00,Bhatpor,N21° 09' 50.52'',E73° 33' 20.09''
2020-04-28 00:00:00,Sachin,N21° 07' 33.42'',E73° 24' 32.04''
2020-05-03 00:00:00,Virpur,N21° 06' 37.78'',E72° 50' 13.42''
2020-05-10 00:00:00,Abhava,N21° 08' 39.42'',E73° 30' 38.5''
2020-05-11 00:00:00,Chakadiya,N21° 06' 34.23'',E72° 50' 30.28''
