Date,Accident Location,Latitude,Longitude,Latitude_decimal,Longitude_decimal
2020-01-01 00:00:00,Bhatia,N21° 06' 46.45'',E73° 21' 16.44'',21.112903,73.354567
2020-01-01 00:00:00,Hazira,N21° 09' 58.63'',E73° 40' 15.78'',21.166286,73.67105
2020-01-01 00:00:00,Bhatia,N21° 06' 7.79'',E73° 20' 42.58'',21.102164,73.345161
2020-01-07 00:00:00,Kikakui,N21° 07' 16.19'',E72° 46' 39.69'',21.121164,72.777692
2020-01-09 00:00:00,Kikakui,N21° 07' 11.67'',E72° 47' 21.87'',21.119908,72.789408
2020-01-10 00:00:00,Abhava,N21° 08' 46.76'',E73° 30' 57.76'',21.146322,73.516044
2020-01-14 00:00:00,Chorvad,N21° 07' 0.08'',E72° 49' 16.06'',21.116689,72.821128
2020-01-15 00:00:00,Chachadbunda,N21° 11' 18.58'',E72° 42' 48.79'',21.188494,72.713553
2020-01-16 00:00:00,Kushalpura,N21° 05' 24.63'',E72° 54' 23.95'',21.090175,72.906653
2020-01-23 00:00:00,Mandal,N21° 07' 13.87'',E72° 48' 10.29'',21.120519,72.802858
2020-01-26 00:00:00,Bhatia,N21° 06' 52.14'',E73° 21' 19.79'',21.114483,73.355497
2020-01-27 00:00:00,Taraz,N21° 05' 58.64'',E73° 20' 2.5'',21.099622,73.334028
2020-01-31 00:00:00,Bhatpore,N21° 09' 48.73'',E73° 33' 3.03'',21.163536,73.550842
2020-01-31 00:00:00,Kikvad,N21° 06' 15.58'',E73° 06' 15.09'',21.104328,73.104192
2020-01-31 00:00:00,Borakhdi,N21° 05' 8.29'',E72° 58' 8.34'',21.085636,72.968983
2020-01-31 00:00:00,Abhava,N21° 08' 37.22'',E73° 30' 31.98'',21.143672,73.508883
2020-02-01 00:00:00,Ena Village,N21° 05' 48.99'',E73° 15' 4.4'',21.096942,73.251222
2020-02-02 00:00:00,Bajipura,N21° 05' 12.09'',E72° 58' 53.04'',21.086692,72.9814
2020-02-02 00:00:00,Kikakui,N21° 07' 11.67'',E72° 47' 21.87'',21.119908,72.789408
2020-02-07 00:00:00,Hazira,N21° 09' 58.14'',E73° 40' 8.87'',21.16615,73.669131
2020-02-09 00:00:00,Bardoli,N21° 06' 21.26'',E73° 10' 22.85'',21.105906,73.173014
2020-02-11 00:00:00,Bardoli,N21° 06' 16.84'',E73° 10' 9.83'',21.104678,73.169397
2020-02-12 00:00:00,Sonarpada,N21° 09' 7.28'',E72° 44' 31.86'',21.152022,72.742183
2020-02-12 00:00:00,Budia,N21° 07' 47.45'',E73° 27' 12.56'',21.129847,73.453489
2020-02-13 00:00:00,Kikakui,N21° 07' 12.42'',E72° 47' 40.9'',21.120117,72.794694
2020-02-13 00:00:00,Vanz,N21° 07' 34.1'',E73° 23' 33.14'',21.126139,73.392539
2020-02-14 00:00:00,Kawas,N21° 09' 59.1'',E73° 34' 12.47'',21.166417,73.570131
2020-02-15 00:00:00,Nani Kikwad,N21° 06' 27.49'',E73° 07' 1.72'',21.107636,73.117144
2020-02-15 00:00:00,Vanz,N21° 07' 34.12'',E73° 22' 16.91'',21.126144,73.371364
2020-02-16 00:00:00,Bhimrad,N21° 08' 8.11'',E73° 28' 49.52'',21.135586,73.480422
2020-02-18 00:00:00,Bardoli,N21° 06' 20.76'',E73° 10' 21.2'',21.105767,73.172556
2020-02-23 00:00:00,Bardoli,N21° 06' 21.06'',E73° 10' 22.19'',21.10585,73.172831
2020-02-24 00:00:00,Mandal,N21° 07' 13.8'',E72° 48' 12.37'',21.1205,72.803436
2020-02-25 00:00:00,Palsana,N21° 05' 50.88'',E73° 18' 25.89'',21.097467,73.307192
2020-02-26 00:00:00,Manekpore,N21° 05' 59.1'',E73° 03' 1.51'',21.09975,73.050419
2020-02-27 00:00:00,Etadva,N21° 05' 56.99'',E73° 19' 31.37'',21.099164,73.325381
2020-02-28 00:00:00,Sonarpada,N21° 08' 17.07'',E72° 45' 3.78'',21.138075,72.75105
