SRNO,Accident_Location,Latitude,Longitude
1.0,Bhatia,21.112903,73.354567
2.0,Hazira,21.166286,73.67105
3.0,Bhatia,21.102164,73.345161
4.0,Kikakui,21.121164,72.777692
5.0,Kikakui,21.119908,72.789408
6.0,Abhava,21.146322,73.516044
7.0,Chorvad,21.116689,72.821128
8.0,Chachadbunda,21.188494,72.713553
9.0,Kushalpura,21.090175,72.906653
10.0,Mandal,21.120519,72.802858
11.0,Bhatia,21.114483,73.355497
12.0,Taraz,21.099622,73.334028
13.0,Bhatpore,21.163536,73.550842
14.0,Kikvad,21.104328,73.104192
15.0,Borakhdi,21.085636,72.968983
16.0,Abhava,21.143672,73.508883
17.0,Ena Village,21.096942,73.251222
18.0,Bajipura,21.086692,72.9814
19.0,Kikakui,21.119908,72.789408
20.0,Hazira,21.16615,73.669131
21.0,Bardoli,21.105906,73.173014
22.0,Bardoli,21.104678,73.169397
23.0,Sonarpada,21.152022,72.742183
24.0,Budia,21.129847,73.453489
25.0,Kikakui,21.120117,72.794694
26.0,Vanz,21.126139,73.392539
27.0,Kawas,21.166417,73.570131
28.0,Nani Kikwad,21.107636,73.117144
29.0,Vanz,21.126144,73.371364
30.0,Bhimrad,21.135586,73.480422
31.0,Bardoli,21.105767,73.172556
32.0,Bardoli,21.10585,73.172831
33.0,Mandal,21.1205,72.803436
34.0,Palsana,21.097467,73.307192
35.0,Manekpore,21.09975,73.050419
36.0,Etadva,21.099164,73.325381
37.0,Sonarpada,21.138075,72.75105
38.0,Sonarpada,21.149303,72.743897
39.0,Kikakui,21.120356,72.798053
40.0,Afva,21.109497,73.140964
41.0,Kikakui,21.119961,72.79085
42.0,Pokhran,21.135169,72.754731
43.0,Vanesa,21.105736,73.202153
44.0,Kawas,21.181136,73.600792
45.0,Bardoli,21.104306,73.168519
46.0,Bardoli,21.104678,73.169397
47.0,Bhatpor,21.164019,73.553658
48.0,Bardoli,21.105906,73.173014
49.0,Vaanz,21.126144,73.371364
50.0,Bardoli,21.103686,73.163819
51.0,Bardoli,21.105625,73.172097
52.0,Navi Kikvad,21.108453,73.120894
53.0,khajod,21.139972,73.494014
54.0,Magdalla,21.152822,73.529789
55.0,Hazira,21.162908,73.728628
56.0,Vaanz,21.125661,73.368528
57.0,Chorvad,21.118425,72.817319
58.0,Bhatpor,21.164033,73.555581
59.0,Sachin,21.12595,73.4089
60.0,Virpur,21.110494,72.837061
61.0,Abhava,21.144283,73.510694
62.0,Chakadiya,21.109508,72.841744
63.0,Hazira,21.167089,73.684475
64.0,Vanz,21.125772,73.368994
65.0,Tichakpur,21.085814,72.933156
66.0,Etadva,21.09835,73.314833
67.0,Zaranpada,21.178986,72.671186
68.0,Malekpore,21.104528,73.285256
70.0,Bajipura,21.090531,73.008994
71.0,Tadkuva,21.103664,72.857897
72.0,Bhadbhunja,21.147842,72.661142
73.0,Sonarpada,21.148133,72.744628
74.0,Ena,21.098122,73.244114
75.0,Bhatia,21.110533,73.353164
76.0,Bhatpore,21.163536,73.550842
77.0,Ichchhapore,21.180678,73.582669
78.0,Magdalla,21.151067,73.526428
79.0,Hazira,21.165025,73.657656
80.0,Virpur,21.112125,72.830058
81.0,Juni Kikwad,21.104014,73.103289
82.0,Maypur,21.086258,72.958422
83.0,Malekpore,21.104528,73.285256
84.0,Navi Kikwad,21.107733,73.117617
85.0,Bhadbhunja,21.149064,72.661728
86.0,Chorvad,21.119667,72.814222
87.0,Malekpor,21.104528,73.285256
88.0,Mandal,21.113061,72.827881
89.0,Bardoli,21.108356,73.182258
90.0,Hazira,21.161461,73.710111
91.0,Ena,21.098681,73.267272
92.0,Budiya,21.130247,73.454353
93.0,Songadh,21.159736,72.738186
94.0,Ena,21.097586,73.247433
95.0,Sonarpada ,21.148133,72.744628
96.0,Chorvad,21.119317,72.815111
97.0,Pokaran,21.132428,72.758531
98.0,Aafva,21.109461,73.141925
99.0,Manekpur,21.099681,73.049464
100.0,Damka,21.166467,73.630706
101.0,Doswada,21.128703,72.765128
102.0,Magdalla,21.149033,73.522128
103.0,Mirkot,21.179344,72.674536
104.0,Pakhari,21.187161,72.710514
105.0,Runvalla,21.107697,73.154169
106.0,Maypur,21.086233,72.955056
107.0,Doswada,21.128231,72.765947
108.0,Aafva,21.109356,73.144808
109.0,Chorvad,21.119492,72.814667
110.0,Songadh,21.165097,72.735653
111.0,Kikvad,21.1092,73.124661
112.0,Bhatpor,21.163536,73.550842
113.0,ONGC Colony,21.178572,73.606953
114.0,Mandal,21.120519,72.802858
115.0,Bhatpor,21.163828,73.551753
116.0,Pokhran,21.136886,72.752494
117.0,Kikakui,21.120286,72.797094
118.0,Bhatpor,21.169431,73.574942
119.0,Magdalla,21.158953,73.539864
120.0,Aaffva,21.109886,73.134239
121.0,Bhadbhunja,21.137628,72.653256
122.0,Kawas,21.183844,73.592697
123.0,Doswada,21.121886,72.776472
124.0,Jiav,21.128025,73.437561
125.0,Kikakui,21.119897,72.789119
126.0,Bhatpor,21.179636,73.581122
127.0,Hazira,21.161481,73.707222
128.0,Vanz,21.126222,73.377139
129.0,Sachin,21.12595,73.4089
130.0,Kawas,21.183844,73.592697
131.0,Borkhadi,21.086633,72.980922
132.0,Bhimrad,21.131606,73.46865
133.0,Bardoli,21.105625,73.172097
134.0,Chorvad ,21.118614,72.816883
135.0,Songadh,21.168447,72.734214
136.0,Hazira,21.166844,73.676797
137.0,Sachin,21.126069,73.40505
138.0,Tadkuva,21.102131,72.862422
139.0,Tadkuva,21.096333,72.884506
140.0,Mandal,21.120508,72.800936
141.0,Etadva,21.099117,73.323939
142.0,Sonarpada,21.146578,72.745603
143.0,Doswada,21.122628,72.775264
144.0,Bhatia,21.115278,73.355958
145.0,Vanz,21.126169,73.385803
146.0,Bhatia,21.116064,73.356428
147.0,Aafva,21.109603,73.127514
148.0,Mandal,21.120503,72.803822
149.0,Budia,21.128761,73.445203
150.0,Katgadh,21.104558,72.855069
151.0,Tichakpura,21.085008,72.940272
152.0,Katgadh,21.107542,72.847122
153.0,Vanz,21.126219,73.377619
154.0,Tichakpura,21.085156,72.941706
155.0,Tadkuva,21.097081,72.874344
156.0,Bhatpor,21.166353,73.564858
157.0,Bhatia,21.118414,73.357867
158.0,Bhatpor,21.166469,73.568686
159.0,Magdalla,21.159969,73.542014
160.0,Chorvad,21.118042,72.818192
161.0,Vanz,21.126194,73.38195
162.0,Vanz,21.126181,73.383875
163.0,Doswada,21.129408,72.763894
164.0,Bajipura,21.092186,73.014431
165.0,Vanesa,21.101519,73.224728
166.0,Manekpor,21.104528,73.285256
167.0,Virpur,21.112006,72.830522
168.0,Bhimrad,21.135881,73.481333
169.0,Bardoli,21.108356,73.182258
170.0,Doswada,21.129644,72.763486
171.0,Kikakui,21.119836,72.787483
172.0,Tadkuva,21.098589,72.871183
173.0,Songadh,21.148133,72.744628
174.0,Abhava,21.147814,73.519547
175.0,Hazira,21.16615,73.669131
176.0,Katgadh,21.104531,72.855164
177.0,Kawas,21.178194,73.607828
178.0,Khusalpura,21.089469,72.902894
179.0,Chorvad,21.11685,72.820783
180.0,Pokharan,21.1366,72.752869
181.0,Bhatia,21.110139,73.352931
182.0,Sejvad,21.1016,73.080078
183.0,Vaanz,21.126225,73.376656
1.0,Doswada,21.128703,73.711072
2.0,Vaanz,21.1262,73.670092
3.0,Sachin,21.126053,73.668939
4.0,Sachin,21.125969,73.667211
5.0,Vaanz,21.126153,73.658608
6.0,Navi Kikwad,21.107439,73.652561
7.0,Virpur,21.110494,73.638419
8.0,Bhimrad,21.134644,73.615683
9.0,Ichhapore,21.178103,73.613989
10.0,Palsana,21.098389,73.609606
11.0,Bardoli,21.104306,73.606081
12.0,Bhatia,21.103639,73.601686
13.0,Sachin,21.12605,73.598119
14.0,Chacharbunda,21.185378,73.598119
15.0,Bajipura,21.092186,73.597675
16.0,Kikakui,21.120008,73.597231
17.0,Vaanz,21.126144,73.587208
18.0,Pokhran,21.133978,73.580108
19.0,Bhatpor,21.164033,73.575881
20.0,Bardoli,21.107178,73.574469
21.0,Mandal,21.120525,73.574469
22.0,Tadkuva,21.097189,73.567725
23.0,Vaanz,21.126239,73.566764
24.0,Taraz,21.099844,73.556542
25.0,Bhatpor,21.168644,73.555581
26.0,Kikakui,21.119908,73.555581
27.0,Khajod,21.136169,73.550842
28.0,Katgadh,21.104531,73.550842
29.0,Kanav,21.103503,73.542014
30.0,Vaanz,21.126181,73.540294
31.0,Bhatia,21.104622,73.537717
32.0,Chacharbunda,21.186247,73.522989
33.0,Magdalla,21.159156,73.502375
34.0,Runvalla,21.109431,73.502375
35.0,Hazira,21.166133,73.499175
36.0,Vaanz,21.126231,73.482244
37.0,Vaanz,21.1262,73.479517
38.0,Nani kikwad,21.107439,73.477714
39.0,Virpur,21.1104,73.471364
40.0,Magdalla,21.159969,73.449986
41.0,Vyara,21.091031,73.443278
42.0,Bardoli,21.107031,73.430911
43.0,Kikakui,21.119711,73.426164
44.0,Abhva,21.141092,73.424264
45.0,Taraj,21.099892,73.420442
46.0,Galuda,21.100817,73.406494
47.0,Bhatpore,21.166544,73.406014
48.0,Hazira,21.1646,73.397833
49.0,Virpur,21.112125,73.39735
50.0,Kikakui,21.119897,73.396389
51.0,Hazira,21.161394,73.391578
52.0,Bardoli,21.103958,73.390614
53.0,Virpur,21.115428,73.390133
54.0,Vaanz,21.121228,73.388689
55.0,Vanz,21.126231,73.386764
56.0,Runvalla,21.105353,73.385803
57.0,Ghaluda,21.101892,73.383875
58.0,Doswada,21.129644,73.380989
59.0,Jamki,21.137628,73.380989
60.0,Bardoli,21.103836,73.3781
61.0,Vanesa,21.108183,73.377139
62.0,Bhatia,21.112903,73.376656
63.0,Aafva,21.109356,73.375694
64.0,Kawas,21.178956,73.37425
65.0,Vanz,21.126142,73.37425
66.0,Etadva,21.099056,73.373286
67.0,Pankhri,21.187258,73.371364
68.0,Bhatia,21.111322,73.3667
69.0,Nandeda,21.105736,73.360267
70.0,Kanav,21.104528,73.357347
71.0,Dipli,21.132531,73.354567
72.0,Chorvad,21.119492,73.354567
73.0,Maypur,21.086136,73.353631
74.0,Kawas,21.1775,73.352931
75.0,Tadkuva,21.102725,73.349642
76.0,Bhatpor,21.163536,73.349583
77.0,Bardoli,21.105625,73.348656
78.0,Bhatpor,21.171008,73.347406
79.0,Doswada,21.128939,73.3369
80.0,Sakarda,21.119678,73.3369
81.0,Vanz,21.12605,73.336422
82.0,Tadkuva,21.098267,73.336422
83.0,Gandhinagar,21.129069,73.335942
84.0,Bhatpor,21.166503,73.324419
85.0,Bhatlav,21.168644,73.322978
86.0,Sejvad,21.10155,73.31675
87.0,Virpur,21.1104,73.315311
88.0,Sakarda,21.116822,73.304808
89.0,Sachin,21.125558,73.290319
90.0,Kawas,21.182514,73.285256
91.0,Hazira,21.165158,73.285256
92.0,Doswada,21.124122,73.274244
